City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Fukue,JP,2022-10-12 21:19:09,32.6881,128.8419,69.04,64,1,18.05
240,Bonthe,SL,2022-10-12 21:19:09,7.5264,-12.505,75.51,85,100,6.96
241,Bat Yam,IL,2022-10-12 21:19:10,32.0231,34.7503,75.31,72,0,2.3
242,Nanortalik,GL,2022-10-12 21:19:11,60.1432,-45.2371,29.59,66,16,14.05
243,Misratah,LY,2022-10-12 21:19:11,32.3754,15.0925,78.75,71,5,9.42
244,Okahandja,NA,2022-10-12 21:19:12,-21.9833,16.9167,75.11,23,66,6.26
245,Columbus,US,2022-10-12 21:17:13,39.9612,-82.9988,75.11,57,100,17.27
246,Ewing,US,2022-10-12 21:19:13,40.2698,-74.7999,69.57,52,0,6.91
247,Poltavka,RU,2022-10-12 21:19:13,54.3663,71.7632,44.56,68,68,7.56
248,Metu,ET,2022-10-12 21:19:13,8.3,35.5833,56.05,97,91,2.84
249,Norderstedt,DE,2022-10-12 21:19:14,53.7,10.0167,48.15,88,0,5.75
250,Kodinsk,RU,2022-10-12 21:19:14,58.6881,99.1844,34.05,95,98,4.0
251,Buenos Aires,AR,2022-10-12 21:15:25,-34.6132,-58.3772,84.09,55,18,3.0
252,Pasighat,IN,2022-10-12 21:19:15,28.0667,95.3333,71.64,98,100,2.64
253,Udachnyy,RU,2022-10-12 21:19:16,66.4167,112.4,32.45,100,100,2.98
254,Ilo,PE,2022-10-12 21:19:16,-17.6394,-71.3375,63.46,72,100,12.66
255,Luwuk,ID,2022-10-12 21:19:17,-0.9516,122.7875,75.45,88,66,3.49
256,Erzin,TR,2022-10-12 21:19:17,36.9559,36.2,69.66,67,91,1.92
257,Kaitangata,NZ,2022-10-12 21:19:18,-46.2817,169.8464,47.44,64,93,5.01
258,Krasnaya Gora,RU,2022-10-12 21:19:18,52.9995,31.6023,47.75,63,100,5.75
259,Merauke,ID,2022-10-12 21:19:19,-8.4667,140.3333,77.22,90,90,10.2
260,San Quintin,MX,2022-10-12 21:19:19,30.4833,-115.95,72.25,69,0,14.07
261,Vanavara,RU,2022-10-12 21:19:20,60.34,102.2797,32.97,92,100,7.05
262,Cayenne,GF,2022-10-12 21:19:21,4.9333,-52.3333,77.04,88,0,2.3
263,Umm Lajj,SA,2022-10-12 21:19:21,25.0213,37.2685,83.07,55,0,8.55
264,Balsas,BR,2022-10-12 21:19:21,-7.5325,-46.0356,91.71,18,6,5.48
265,Dudinka,RU,2022-10-12 21:19:22,69.4058,86.1778,31.62,97,100,8.63
266,Ixtapa,MX,2022-10-12 21:19:22,20.7,-105.2,89.22,66,100,9.22
267,Ukiah,US,2022-10-12 21:19:23,39.1502,-123.2078,96.44,34,0,1.01
268,Honolulu,US,2022-10-12 21:15:50,21.3069,-157.8583,86.27,67,75,6.91
269,Diffa,NE,2022-10-12 21:19:24,13.3154,12.6113,87.3,28,19,6.93
270,Ambilobe,MG,2022-10-12 21:19:24,-13.2,49.05,67.53,81,3,3.89
271,Souillac,MU,2022-10-12 21:19:25,-20.5167,57.5167,71.98,78,40,9.22
272,Cacoal,BR,2022-10-12 21:19:25,-11.4386,-61.4472,78.13,80,79,6.93
273,Jalu,LY,2022-10-12 21:20:25,29.0331,21.5482,77.22,32,0,6.04
274,Faanui,PF,2022-10-12 21:17:51,-16.4833,-151.75,78.55,76,14,15.43
275,Cap Malheureux,MU,2022-10-12 21:20:26,-19.9842,57.6142,71.47,67,1,5.99
276,Moss Point,US,2022-10-12 21:20:27,30.4116,-88.5345,84.34,74,20,6.91
277,Ingham,US,2022-10-12 21:20:27,42.6,-84.3833,69.75,65,100,22.06
278,Bilibino,RU,2022-10-12 21:20:28,68.0546,166.4372,-4.32,97,96,3.56
279,Plettenberg Bay,ZA,2022-10-12 21:21:33,-34.0527,23.3716,62.92,95,86,2.33
280,Storforshei,NO,2022-10-12 21:21:34,66.4043,14.5233,41.67,100,75,1.14
281,Carira,BR,2022-10-12 21:21:35,-10.3608,-37.7011,73.8,62,2,14.03
282,Canyon,US,2022-10-12 21:21:35,34.9803,-101.9188,79.02,26,0,2.48
283,Kieta,PG,2022-10-12 21:21:36,-6.2167,155.6333,80.69,80,82,2.3
284,Joshimath,IN,2022-10-12 21:21:37,30.5667,79.5667,53.51,63,0,5.99
285,Port Blair,IN,2022-10-12 21:19:15,11.6667,92.75,75.24,94,40,2.3
286,Willowmore,ZA,2022-10-12 21:21:38,-33.2926,23.4895,71.67,53,97,7.29
287,Boende,CD,2022-10-12 21:21:38,-0.2167,20.8667,73.02,85,95,1.43
288,Broken Hill,AU,2022-10-12 21:19:17,-31.95,141.4333,60.06,89,96,10.0
289,Liwale,TZ,2022-10-12 21:21:39,-9.7667,37.9333,65.93,86,0,5.14
290,Mitsamiouli,KM,2022-10-12 21:21:39,-11.3847,43.2844,75.25,73,0,3.0
291,Owando,CG,2022-10-12 21:21:40,-0.4819,15.8999,71.55,96,99,1.07
292,Hokitika,NZ,2022-10-12 21:17:19,-42.7167,170.9667,55.0,61,93,1.68
