Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Broken Hill,AU,63.32,light rain,-31.95,141.4333,Royal Exchange Hotel
376,Fasa,IR,72.01,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
377,Kutum,SD,81.97,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
378,Faya,SA,64.92,broken clouds,18.3851,42.4509,شيلة نسايم
379,Atherton,GB,58.55,clear sky,53.5237,-2.4935,The Mercury Motel
381,Alice Springs,AU,63.95,thunderstorm,-23.7,133.8833,Desert Palms Alice Springs
382,Puerto Narino,CO,86.45,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
383,Mount Pleasant,US,80.58,clear sky,32.7941,-79.8626,Best Western Patriots Point
384,Nishihara,JP,73.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
385,Akyab,MM,80.64,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
386,Buala,SB,80.22,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
387,Homa Bay,KE,67.93,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
389,Klaksvik,FO,45.52,light rain,62.2266,-6.589,Airbnb rooms
390,Kirkwood,US,47.71,few clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
391,Moranbah,AU,70.41,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
392,Hamilton,US,49.21,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
393,Kuvshinovo,RU,47.82,few clouds,57.0295,34.1725,Каменка
394,Wake Forest,US,76.84,clear sky,35.9799,-78.5097,Hampton Inn Raleigh/Town Of Wake Forest
398,Bethel,US,64.53,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
399,Banda Aceh,ID,79.25,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
400,Necochea,AR,66.06,clear sky,-38.5473,-58.7368,dyd -mar Hotel
404,Penzance,GB,60.76,few clouds,50.1186,-5.5371,Artist Residence Penzance
405,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
406,Vao,NC,72.54,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
408,Upington,ZA,76.91,overcast clouds,-28.4478,21.2561,River Place Manor
409,Zhanaozen,KZ,59.02,overcast clouds,43.3,52.8,
413,Skuodas,LT,53.46,light rain,56.2667,21.5333,Skuodiskio uzeiga
414,Zaragoza,ES,77.45,scattered clouds,41.6561,-0.8773,Hotel Goya
415,Airai,TL,62.58,overcast clouds,-8.9266,125.4092,
417,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Hotel San Juan
418,Slave Lake,CA,58.91,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
420,Bocanda,CI,78.13,moderate rain,7.0626,-4.4995,Résidence Hôtel
421,Pisco,PE,64.02,haze,-13.7,-76.2167,Hotel San Isidro Oficial
422,Palm Coast,US,88.02,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
425,Plouzane,FR,62.92,few clouds,48.3833,-4.6167,Lymina
426,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
428,Osypenko,UA,52.93,clear sky,46.9136,36.8253,
429,Pudozh,RU,46.09,overcast clouds,61.8099,36.5345,Guest-House na Transportnoy
430,Mountain Home,US,65.79,clear sky,43.133,-115.6912,Mountain Home Inn
